t(s)	ag(m/s^2)
27.98	-0.04375
28	-0.03832
28.02	-0.04955
28.04	-0.0728
28.06	-0.11709
28.08	-0.16961
28.1	-0.20119
28.12	-0.20696
28.14	-0.17919
28.16	-0.11159
28.18	-0.03919
28.2	-0.02954
28.22	-0.02236
28.24	-0.01834
28.26	-0.03268
28.28	-0.02439
28.3	0.01609
28.32	0.03772
28.34	0.02205
28.36	-0.02496
28.38	-0.06879
28.4	-0.08827
28.42	-0.09399
28.44	-0.06558
28.46	-0.03138
28.48	-0.0104
28.5	0.00177
28.52	0.00064
28.54	0.00583
28.56	0.03002
28.58	0.04548
28.6	0.02851
28.62	0.00495
28.64	-0.00259
28.66	0.00687
28.68	0.01229
28.7	0.00862
28.72	-0.01509
28.74	-0.08112
28.76	-0.18462
28.78	-0.25839
28.8	-0.28999
28.82	-0.29043
28.84	-0.27087
28.86	-0.25607
28.88	-0.23389
28.9	-0.18157
28.92	-0.10697
28.94	-0.03747
28.96	0.02537
28.98	0.06468
29	0.09112
29.02	0.11265
29.04	0.14859
29.06	0.15133
29.08	0.1456
29.1	0.14593
29.12	0.14516
29.14	0.13999
29.16	0.10959
29.18	0.07262
29.2	0.05937
29.22	0.0645
29.24	0.08661
29.26	0.11048
29.28	0.10665
29.3	0.08423
29.32	0.0954
29.34	0.14566
29.36	0.18149
29.38	0.19205
