T	acela. (m)
24.66	-0.0867
24.68	-0.06927
24.7	-0.08085
24.72	-0.14267
24.74	-0.18235
24.76	-0.15619
24.78	-0.10987
24.8	-0.05824
24.82	-0.01373
24.84	-0.01235
24.86	-0.02065
24.88	-0.02819
24.9	0.03984
24.92	0.13296
24.94	0.22882
24.96	0.24169
24.98	0.22019
25	0.15874
25.02	0.07668
25.04	-0.01129
25.06	-0.08208
25.08	-0.1001
25.1	-0.10596
25.12	-0.10684
25.14	-0.10753
25.16	-0.10885
25.18	-0.07946
25.2	0.01038
25.22	0.117
25.24	0.20125
25.26	0.17189
25.28	0.1346
25.3	0.15559
25.32	0.19351
25.34	0.17234
25.36	0.12197
25.38	0.08994
25.4	0.13112
25.42	0.1889
25.44	0.24863
25.46	0.23444
25.48	0.18687
25.5	0.16063
25.52	0.1604
25.54	0.16174
25.56	0.12293
25.58	0.07131
25.6	0.05214
25.62	0.0357
25.64	0.01819
25.66	-0.00816
25.68	-0.03109
25.7	-0.05483
25.72	-0.07479
25.74	-0.10926
25.76	-0.18364
25.78	-0.264
25.8	-0.30875
25.82	-0.26727
25.84	-0.18926
25.86	-0.10113
25.88	-0.01753
25.9	0.0324
25.92	0.03194
25.94	-0.04221
25.96	-0.13613
25.98	-0.23253
26	-0.33311
26.02	-0.32708
26.04	-0.2252
26.06	-0.11968
26.08	-0.01429
26.1	0.08353
26.12	0.18403
26.14	0.28655
26.16	0.35036
26.18	0.28662
26.2	0.19993
26.22	0.09629
26.24	0.01227
26.26	-0.07058
26.28	-0.03599
26.3	0.05774
26.32	0.16783
26.34	0.26597
26.36	0.33549
26.38	0.30356
26.4	0.21049
26.42	0.12579
26.44	0.04311
26.46	-0.03239
26.48	-0.11271
26.5	-0.12928
26.52	-0.09569
26.54	-0.05285
26.56	-0.03435
26.58	-0.04474
26.6	-0.05776
26.62	-0.08426
26.64	-0.15339
26.66	-0.16554
26.68	-0.13135
26.7	-0.12456
26.72	-0.11672
26.74	-0.07112
26.76	-0.002
26.78	0.04459
26.8	0.09812
26.82	0.14225
26.84	0.19241
26.86	0.14717
26.88	0.03095
26.9	-0.07953
26.92	-0.12565
26.94	-0.15556
26.96	-0.22895
26.98	-0.31405
27	-0.34606
27.02	-0.36002
27.04	-0.32746
27.06	-0.27531
27.08	-0.21571
27.1	-0.1247
27.12	-0.01194
27.14	0.07057
27.16	0.05398
27.18	0.05227
27.2	0.10561
27.22	0.16555
27.24	0.22618
27.26	0.21626
27.28	0.19873
27.3	0.1266
27.32	-0.0023
27.34	-0.0876
27.36	-0.06043
27.38	-0.02211
27.4	0.01393
27.42	0.04908
27.44	0.07794
27.46	0.04121
27.48	-0.01882
27.5	-0.08324
27.52	-0.11439
27.54	-0.13254
27.56	-0.14456
27.58	-0.13283
27.6	-0.07124
27.62	0.00104
27.64	0.04357
27.66	0.08357
27.68	0.12058
27.7	0.14504
27.72	0.08434
27.74	-0.00255
27.76	-0.07369
27.78	-0.02533
27.8	0.03624
27.82	0.04655
27.84	0.03257
27.86	0.05834
27.88	0.14933
27.9	0.16505
27.92	0.11036
27.94	0.04721
27.96	0.00599
27.98	0.00382
28	0.03918
28.02	0.06915
28.04	0.09199
28.06	0.1099
28.08	0.16391
28.1	0.15451
28.12	0.05643
28.14	-0.06696
28.16	-0.13679
28.18	-0.07322
28.2	-0.01472
28.22	-0.0543
28.24	-0.07789
28.26	-0.04735
28.28	-0.03704
28.3	-0.08421
28.32	-0.15095
28.34	-0.20633
28.36	-0.1972
28.38	-0.17757
28.4	-0.15513
28.42	-0.17216
28.44	-0.22921
28.46	-0.23092
28.48	-0.21663
28.5	-0.24548
28.52	-0.29327
28.54	-0.31185
28.56	-0.2561
28.58	-0.20177
28.6	-0.17574
28.62	-0.14383
28.64	-0.04788
28.66	0.06758
28.68	0.16708
28.7	0.19453
28.72	0.17973
28.74	0.17104
28.76	0.16606
28.78	0.16799
28.8	0.17044
28.82	0.13743
28.84	0.09334
28.86	0.04202
28.88	0.00611
28.9	0.01268
28.92	0.05647
28.94	0.07612
28.96	0.04644
28.98	0.01025
29	-0.02277
29.02	-0.06703
29.04	-0.13608
29.06	-0.21469
