t (s)	ag (m/s^2)
10.99	0.0000464950
11	0.0002387700
11.01	0.0002761300
11.02	0.0000188920
11.03	-0.0000938090
11.04	-0.0000412850
11.05	-0.0002336100
11.06	-0.0002914400
11.07	0.0000664240
11.08	0.0003185800
11.09	0.0001663200
11.1	0.0000087096
11.11	-0.0000237280
11.12	-0.0001313800
11.13	-0.0001435000
11.14	0.0000182190
11.15	0.0002369900
11.16	0.0002676900
11.17	-0.0000325590
11.18	-0.0002726600
11.19	-0.0002324100
11.2	-0.0000526000
11.21	0.0001273800
11.22	0.0001776500
11.23	0.0001071100
11.24	0.0000077953
11.25	-0.0000528160
11.26	-0.0000624940
11.27	-0.0000823420
11.28	-0.0000831230
11.29	0.0000182970
11.3	0.0000763270
11.31	0.0000186420
11.32	0.0000662280
11.33	0.0001784100
11.34	0.0000067019
11.35	-0.0002922200
11.36	-0.0001826500
11.37	0.0001172200
11.38	0.0001577100
11.39	0.0000771290
11.4	0.0000775060
11.41	0.0000775430
11.42	-0.0000930260
11.43	-0.0002520000
11.44	-0.0001433200
11.45	0.0001579700
11.46	0.0002670500
11.47	0.0000572590
11.48	-0.0000320300
11.49	-0.0000737440
11.5	-0.0002011700
11.51	-0.0001243200
11.52	0.0000990010
11.53	0.0002359400
11.54	0.0001383400
11.55	0.0000168210
11.56	-0.0000625760
11.57	-0.0002024500
11.58	-0.0001829900
11.59	-0.0000525000
11.6	-0.0000224660
11.61	-0.0000134030
11.62	0.0001886000
11.63	0.0003355800
11.64	0.0001692900
11.65	-0.0000546410
11.66	-0.0002210800
11.67	-0.0002237300
11.68	-0.0000824280
11.69	0.0000177820
11.7	0.0001161800
11.71	0.0001487900
11.72	0.0000557400
11.73	0.0000385020
11.74	-0.0000033738
11.75	-0.0001828500
11.76	-0.0001318300
11.77	0.0000557330
11.78	0.0000891400
11.79	-0.0000446280
11.8	-0.0000312350
11.81	0.0001963600
11.82	-0.0000426730
11.83	-0.0002620600
11.84	0.0000659150
11.85	0.0002688600
11.86	0.0001056200
11.87	-0.0001915700
11.88	-0.0001733600
11.89	-0.0000129700
11.9	-0.0000519000
11.91	-0.0000041661
11.92	0.0001387100
11.93	0.0001659300
11.94	-0.0000421410
11.95	-0.0001826100
11.96	0.0000060232
11.97	0.0001492600
11.98	-0.0000055463
11.99	-0.0000998410
12	-0.0000156600
12.01	-0.0000605810
12.02	-0.0000841600
12.03	0.0000473810
12.04	0.0001880600
12.05	0.0001253100
12.06	-0.0000503820
12.07	-0.0000455600
12.08	0.0000196550
12.09	-0.0000148410
12.1	-0.0001516800
